epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.6613,0.43217,0.78288,2.45237,0.00199,2.91996,0.85368,0.89068,0.92081,0.88368,0.85368,0.89068,0.92081,0.79276,0.32862,0.39767,0.45545,0.00245,0,0.00988095,0.00329365,0.00988095,0.00329365,0.00988095,0.00329365,0.00988095,0.00329365
2,110.365,0.46115,0.46933,0.64743,0.00211,0.36938,0.91897,0.9239,0.95689,0.88784,0.91897,0.9239,0.95689,0.85577,0.41035,0.40103,0.35014,0.00272,0,0.0198613,0.00662042,0.0198613,0.00662042,0.0198613,0.00662042,0.0198613,0.00662042
3,156.353,0.53519,0.46818,0.52955,0.00243,0.25658,0.87483,0.905,0.9395,0.84284,0.8714,0.90054,0.93352,0.80073,0.491,0.62648,0.52625,0.00354,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
4,202.121,0.55892,0.52683,0.53064,0.00258,0.29238,0.90137,0.92083,0.94673,0.8307,0.90137,0.92083,0.9466,0.86397,0.57085,0.40832,0.45534,0.00399,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,248.034,0.54211,0.51294,0.48718,0.00246,0.26549,0.92019,0.8995,0.9484,0.86812,0.92019,0.8995,0.94814,0.84289,0.44472,0.39832,0.38015,0.00324,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,293.99,0.52255,0.49934,0.46446,0.00239,0.25411,0.93268,0.92037,0.95664,0.90034,0.93268,0.92037,0.95624,0.82679,0.37003,0.42878,0.32347,0.00254,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,339.803,0.50784,0.48281,0.43402,0.00232,0.23638,0.91878,0.91501,0.95466,0.8938,0.91878,0.91501,0.95376,0.81578,0.38785,0.44812,0.34764,0.00266,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,385.724,0.50639,0.47227,0.43037,0.0023,0.22448,0.94188,0.92881,0.95992,0.90703,0.94188,0.92881,0.95909,0.81515,0.36372,0.38246,0.30919,0.00251,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,432.379,0.49164,0.47363,0.42157,0.00222,0.23078,0.93132,0.9293,0.96106,0.90149,0.93159,0.92956,0.95962,0.82082,0.38031,0.36992,0.31572,0.00248,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,478.463,0.48203,0.47439,0.41411,0.00217,0.22931,0.91404,0.94256,0.95619,0.90867,0.91404,0.94256,0.95595,0.82047,0.34249,0.39177,0.32277,0.00241,0,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
